Name,Location,Number,Opening and Closing Hours
Medical Imaging Inc,Castries,(758)485 6678,"Monday-Friday:8AM to 4PM,Saturday:9AM to 1PM,Sunday:Closed  "
United medical and Surgical Clinic,Vieux Fort,(758)454 7082,"Monday-Friday:8AM to 4PM,Saturday:8AM to 12PM,Sunday:Closed  "
SKR Diognostics,Vieux Fort,(758)287 4274,"Monday-Friday:7:30AM to 6:30PM,Saturday:8AM to 2PM,Sunday:Closed  "
Insight Eye Care Services,Vieux Fort,(758)486 3937,"Monday-Tuesday:9AM to 4PM, Thursday-Friday:9AM to 4PM, Saturday: 9AM to 3PM,Wednesday and Sunday:Closed"
Vision Express,Vieux Fort,(758)457 7400,"Monday-Saturday:8:30AM to 6PM,Sunday:Closed  "
OKEU Hospital,Castries,(758)458 6500,Monday-Sunday: Open 24 hours
St.Judes Hospital,Micoud Hwy,,Monday-Sunday: Open 24 hours
St.Judes Hospital,"Micoud Hwy, VieuxFort",(758)459 6700,Monday-Sunday: Open 24 hours
Babonneau Health Centre,"Babonneau, Castries",(758) 450 5858,"Monday-Friday:8AM to 4PM,Saturday-Sunday:Closed  "
Gros Islet Polyclinic,Gros-Islet,(758) 468 7630,Monday-Sunday: 8AM to 12AM
U-MED Clinic,Castries,(758)453 3636,"Monday-Friday:9AM to 4PM,Saturday-Sunday:Closed  "
Saint Lucia Eye Hospital,"Rodney Bay, Gros Islet",(758)287 2020,"Monday-Saturday:9AM to 5PM,Sunday:Closed"
Fond St.Jaques Health and Wellness Centre,"Fond St.Jaques , Soufriere",(758)459 7595,N/A
St Anthony Medical Centre Castries,Castries,(758) 452 2040,"Monday-Friday:8AM to 4PM,Saturday-Sunday:Closed "
St Anthony Medical Centre ,Soufriere,(758)459 7040,"Monday-Friday:8AM to 5PM,Saturday-Sunday:Closed"
La Clinic Du Corps,Castries,(758)451 6559,"Monday-Friday:9AM to 5PM,Saturday:9AM to 1PM,Sunday:Closed  "
Ti Rocher Health Centre,"Girard Cacoa, Micould",(758)452 3529,"Monday-Friday:8AM to 4:30PM,Saturday-Sunday:Closed "
La Guerre Health Centre,"La Guerre,Plateau",(758)458 9222,N/A
Monchy Health Centre,"Monchy, Gros Islet",(758)468 8540,"Monday-Friday:8AM to 3PM,Saturday-Sunday:Closed  "
Grande Riviere Health Centre,"Grande Riviere, Gros Islet",(758)450 1651,"Monday-Friday:8AM to 4PM,Saturday-Sunday:Closed "
Bexon Health Centre,"Bexon, Castries",(758)452 1261,"Monday-Friday:8AM to 4PM,Saturday-Sunday:Closed "
Anse La Raye Health and Wellness Centre,Anse La Raye,(758)451 4225,"Monday-Friday:8AM to 4:30PM,Saturday:8AM to 11:45AM,Sunday:Closed  "
Cardiovascular Medical Centre,"Vigie, Castries",(758)452 1231,"Monday-Friday:8:30AM to 5PM,Saturday:9AM to 12PM,Sunday:Closed  "
Richfond Health Centre,"Richfond, Dennery",(758)453 3355,N/A
Belle Vue Health and Wellness Centre,"Belle Vue, Vieux Fort",(758)468 7975,"Monday-Friday:8AM to 4:30PM,Saturday-Sunday:Closed "
Jacmel Health Centre,"Jacmel, Anse La Raye",(758)451 4004,N/A
Ciceron Wellness Centre,"Ciceron, Castries",(758)468 7704,"Monday-Friday:8AM to 4:30PM,Saturday-Sunday:Closed "
Dr.Gill's Hashem Medical Dialysis Clinic,Castries,(758)453 6699,"Monday-Friday:6AM to 4:30PM,Saturday:9:30AM to 1:30PM,Sunday:6AM to 4:30PM"
Saint Lucia Eye Centre,Castries,(758)452 4455,"Monday-Friday:8:30AM to 4:30PM,Saturday:9AM to 12:30PM,Sunday:Closed  "
Mon Repos Wellness Centre,"Mon Repos, Micould",(758)455 3229,"Monday-Friday:8AM to 5PM,Saturday-Sunday:Closed  "
Laborie Wellness Centre,"La Croix Rd,Londonderry",(758)454 6930,N/A
The X-Ray and Ultra-Sound Centre,"St.Judes Hwy, La Retraite, VieuxFort",(758)454 6151,"Monday-Friday:7:30AM to 4PM,Saturday:8AM to 12PM,Sunday:Closed  "
BlackBay Medical Associates,"Black Bay, Vieux Fort",(758)454 3396,N/A
Bel Zye Eye Care,Castries,(758)572 9800,"Monday-Friday:8:30AM to 4:30PM,Saturday:8:30AM to 12:30PM,Sunday:Closed  "
EM Care,Rodney Bay,(758)453 2552,N/A
Delcer Health Centre,Anse Ivrogne,N/A,N/A
The Rodney Bay Neuroservices Centre,Castries-Gros Islet Hwy,(758)452 8621,"Monday-Friday:9AM to 4PM,Saturday-Sunday:Closed "
La Fargue Health and Wellness ,La Fargue,(758)459 3228,N/A
Dr.Bryan's Medical and Urgent Care,"Bois D'Orange, Gros Islet",(758)284 3678,"Monday-Friday:9AM to 5PM,Saturday:10AM to 4PM,Sunday:Closed  "
Cana Neuro Services,"San Souci, Castries",(758)459 2228,"Monday-Friday:8AM to 4:30PM,Saturday-Sunday:Closed "
Mongouge Health Center,"Mongouge,Union, Gros Islet",N/A,N/A
Fond Assau Health Centre,Cabishe,N/A,N/A
La Croix Maingot Health Center,Soucis,N/A,N/A
National Mental Wellness Centre,"Millennium Hwy,Castries",(758)452 7393,Monday-Sunday: Open 24 hours
